generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,run2_status
gen-1773136859-L0ytzRA5gUfKeCffNbVt,3/10/2026 10:00,0.003029,,,,0,579,144,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2406,2189,Github,mud_parser_1,discard
gen-1773136858-cGWccOWiP8AjhDTJGuEc,3/10/2026 10:00,0.000084,,,,0,96,40,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,781,720,Github,mud_parser_1_classifier,classifier
gen-1773136856-SXSjv8E2pg72V6WbFpYP,3/10/2026 10:00,0.002558,,,,0,582,110,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1896,1430,Github,mud_parser_1,discard
gen-1773136854-JJmkHo5pXd8NUhXkd0Kl,3/10/2026 10:00,0.002325,,,,0,625,88,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1646,1503,Github,mud_parser_1,discard
gen-1773136852-0z5MNxgGqkCXaNgVg6D1,3/10/2026 10:00,0.002945,,,,0,619,133,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2212,2081,Github,mud_parser_1,discard
gen-1773136851-gWHZTHbUB6B7fcVzFR3J,3/10/2026 10:00,0.000089,,,,0,104,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,926,828,Github,mud_parser_1_classifier,classifier
gen-1773136849-Prm31Q7gd8JUneKDkzQD,3/10/2026 10:00,0.00242,,,0,0,536,818,762,0,deepseek/deepseek-r1,Novita,standard,FALSE,TRUE,,stop,stop,27504,1076,Github,mud_parser_2,discard
gen-1773136848-eQt0tUbt1YbGZDQFlOvr,3/10/2026 10:00,0.002579,,,,0,578,112,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2085,1613,Github,mud_parser_1,discard
gen-1773136847-nNvu7IHLE9cqR1vyhFzw,3/10/2026 10:00,0.001662,,,,0,550,50,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1133,907,Github,mud_parser_1,discard
gen-1773136846-KZIjJVb7C2SsdZWG8eW9,3/10/2026 10:00,0.000088,,,,0,102,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,770,645,Github,mud_parser_1_classifier,classifier
gen-1773136845-K8jOW7aPjLsYgliItnpW,3/10/2026 10:00,0.009246,,,,0,561,677,643,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,8637,2621,Github,mud_parser_3,discard
gen-1773136843-vF3q7vv9LYNupDHGREhu,3/10/2026 10:00,0.003482,,,,0,534,182,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2854,2693,Github,mud_parser_1,discard
gen-1773136842-kdiZ4mtTM9PKjeMhr5lY,3/10/2026 10:00,0.000088,,,,0,102,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,1372,813,Github,mud_parser_1_classifier,classifier
gen-1773136839-ZnrE3r51KaR9W0JnG74E,3/10/2026 10:00,0.002989,,,,0,532,147,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2321,1961,Github,mud_parser_1,discard
gen-1773136838-aJ63yjhsGjdBGUF6x02K,3/10/2026 10:00,0.000088,,,,0,103,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,602,545,Github,mud_parser_1_classifier,classifier
gen-1773136836-tCcptFUl6r64oZlx7PHh,3/10/2026 10:00,0.002247,,,,0,492,99,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1909,1315,Github,mud_parser_1,discard
gen-1773136834-1OdH069hoa1pRF7PnG5S,3/10/2026 10:00,0.00259,,,,0,536,118,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2264,2058,Github,mud_parser_1,discard
gen-1773136831-WFBMYBXIwgEvRQDIzN7y,3/10/2026 10:00,0.002689,,,,0,529,126,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2292,2139,Github,mud_parser_1,discard
gen-1773136829-0Kkd40IPC8EL84sQKuFz,3/10/2026 10:00,0.002493,,,,0,529,112,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2017,1878,Github,mud_parser_1,discard
gen-1773136827-EPDtZRgiN7ui08saAm57,3/10/2026 10:00,0.002714,,,,0,503,131,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2312,2092,Github,mud_parser_1,discard
gen-1773136826-mu2oFofIvzYfZk1B7NZU,3/10/2026 10:00,0.000088,,,,0,100,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,627,497,Github,mud_parser_1_classifier,classifier
gen-1773136826-SdhvloPrgD98xE3e7fMM,3/10/2026 10:00,0.00956,,,,0,604,696,662,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,8373,2827,Github,mud_parser_3,discard
gen-1773136823-HutgCSyiCgtc7bIvhwO5,3/10/2026 10:00,0.002927,,,,0,489,148,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,3164,2848,Github,mud_parser_1,discard
gen-1773136820-Lrdydluqw46WHmIvagB2,3/10/2026 10:00,0.003241,,,,0,532,165,128,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2886,2755,Github,mud_parser_1,discard
gen-1773136819-hP1xSgj2nsUa8CC2W9UB,3/10/2026 10:00,0.000086,,,,0,98,41,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,711,639,Github,mud_parser_1_classifier,classifier
gen-1773136819-9zGREf1w7sGVbbDystAS,3/10/2026 10:00,0.002831,,,0,0,570,973,930,0,deepseek/deepseek-r1,Novita,standard,FALSE,TRUE,,stop,stop,28433,1138,Github,mud_parser_2,discard
gen-1773136817-RCEAY9Z7WyFwvNXZoiF7,3/10/2026 10:00,0.002577,,,,0,489,123,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2340,1887,Github,mud_parser_1,discard
gen-1773136815-z92RtqR8dfJdrqrg1ZfP,3/10/2026 10:00,0.001953,,,,0,492,78,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1607,1467,Github,mud_parser_1,discard
gen-1773136813-PK0sIxEkk7G6NUlUE4fQ,3/10/2026 10:00,0.002716,,,,0,488,133,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2263,2067,Github,mud_parser_1,discard
gen-1773136811-CqfomXjF2pKqJHgXkNd3,3/10/2026 10:00,0.003052,,,,0,602,154,120,0,google/gemini-3.1-pro-preview-20260219,Google AI Studio,standard,FALSE,TRUE,,STOP,stop,3792,3065,Github,mud_parser_3,discard
gen-1773136811-IbX9dCRcNAQHOFLXy6co,3/10/2026 10:00,0.001911,,,,0,484,76,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1434,1234,Github,mud_parser_1,discard
gen-1773136810-tqQJwCPYVlAKkl5Xa5XP,3/10/2026 10:00,0.001552,,,,0,455,54,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1098,909,Github,mud_parser_1,discard
gen-1773136808-rdhbVMqNzjGx4IBSjYSC,3/10/2026 10:00,0.001716,,,,0,437,68,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1433,1308,Github,mud_parser_1,discard
gen-1773136807-FHSua5vpmGqZQkctqsRG,3/10/2026 10:00,0.00173,,,,0,437,69,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1501,1308,Github,mud_parser_1,discard
gen-1773136806-diidS6YLDjbfijrstZHp,3/10/2026 10:00,0.004054,,,,0,605,237,225,0,google/gemini-3.1-pro-preview-20260219,Google,standard,FALSE,TRUE,,STOP,stop,4871,3199,Github,mud_parser_3,discard
gen-1773136805-ogzFGZh72isYAOBAonTF,3/10/2026 10:00,0.002112,,,,0,463,93,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1688,1534,Github,mud_parser_1,discard
gen-1773136803-MNwrCDC1DqzQXVRI1LYt,3/10/2026 10:00,0.001776,,,,0,479,67,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1416,1269,Github,mud_parser_1,discard
gen-1773136801-3WL83RA2L0PUnWSBFz99,3/10/2026 10:00,0.002006,,,0,0,605,633,586,0,deepseek/deepseek-r1,Novita,standard,FALSE,TRUE,,stop,stop,17499,730,Github,mud_parser_2,discard
gen-1773136801-vntnufaMXzCs7gHc5BBE,3/10/2026 10:00,0.00459,,,,0,597,283,253,0,google/gemini-3.1-pro-preview-20260219,Google,standard,FALSE,TRUE,,STOP,stop,5596,2975,Github,mud_parser_3,discard
gen-1773136800-SaFV2albZ4EOKEgIpFHw,3/10/2026 10:00,0.002815,,,,0,513,137,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2837,2692,Github,mud_parser_1,discard
gen-1773136800-0BziSXwrPdIOuF8R10mc,3/10/2026 10:00,0.000086,,,,0,94,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,831,831,Github,mud_parser_2_classifier,classifier
gen-1773136918-F1gOS7kHLmHNzVlWNdra,3/10/2026 10:01,0.000089,,,,0,105,42,0,0,google/gemini-3.1-flash-lite-preview-20260303,Google,standard,FALSE,TRUE,,STOP,stop,786,582,Github,mud_parser_1_classifier,classifier
gen-1773136916-8GPU0DCx0rBjpvXDsJPo,3/10/2026 10:01,0.002495,,,,0,522,113,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1975,1400,Github,mud_parser_1,discard
gen-1773136913-x2GT3oBGPZKgODmSl7YX,3/10/2026 10:01,0.003328,,,,0,510,174,64,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,2969,2561,Github,mud_parser_1,discard
gen-1773136911-I2xw0nRbbuAuYRqP9bt2,3/10/2026 10:01,0.00208,,,,0,509,85,0,0,openai/gpt-5.3-chat-20260303,OpenAI,standard,FALSE,TRUE,,completed,stop,1706,1508,Github,mud_parser_1,discard
